peoplewithanopenldhospitalstay,peopleincontactwithmhservices,peoplesubjecttothe_mental_health_act,peoplebeingtreatedby_early_intervention_teams,peopleoncpafor_one_twomonths,spellsstarting,awolepisodes,peopleoncpafor_one_twomonthswithreview,daysofdelayeddischarge,_one_sevenyearsoldbeddays,peoplewithaccommodationstatusrecorded
10,7920,65,230,655,40,*,625,120,5,4840
*,1425,20,30,7t0,65,*,u50,*,*,610
*,1x5,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,10,*,*
*,30,*,*,*,20,*,*,10,*,15
*,85,25,*,0,25,*,10,30,*,35
*,5015,3o5,225,850,145,*,680,*,*,2630
*,1y5,*,*,*,*,*,*,*,*,*
*,y5,*,*,*,*,*,*,*,*,*
*,15,*,*,*,*,*,*,*,*,z5
*,95,5,*,10,s5,*,5,*,*,*
25,h2465,20,85,350,80,*,290,120,*,990
*,915,51,*,155,57,*,14b5,*,*,360
*,145,*,*,*,35,*,*,*,*,10
*,4400,65,190,1090,275,5,990,70,*,2290
*,100,*,*,02,*,*,15,*,*,5
*,215,30,*,6n5,0,*,60,5,*,5y0
*,70,*,*,15,*,*,10,*,*,45
15,23535,80,400,1980,475,x10,1740,275,*,825
*,2250,5,65,15,270,*,110,90,*,915
*,7445,115,810,165,175,*,580,25,*,3985
*,3690,5,105,760,k245,*,610,110,*,150
*,140,5,*,15,40,*,10,*,*,35
*,10,*,*,,*,*,*,*,*,5
*,55***,*,*,*,*,*,*,*,*,*
*,01,*,*,*,*,*,*,*,*,5
*,0,*,*,*,*,*,*,*,*,*
*,50,*,*,*,5,*,*,*,*,10
5,2t065,25,15,575,165,*,455,165,*,135
*,4080,135,102,870,401,*,790,60,*,1915
*,c5,*,*,*,*,*,*,*,*,*
20,4600,85,90,715,60,*,80,180,*,1810
*,5,*,*,5,*,*,*,60,*,*
*,396o0,105,155,880,450,*,760,*,*,1685
*,55,10,*,01,5,*,01,*,*,25
*,15,5,*,5,*,*,5,*,*,10
*,105,*,*,*,0,*,*,*,*,15
*,,*,*,*,*,*,*,*,*,*
*,2o0,*,*,*,*,*,*,*,*,10
*,325,*,*,*,15,*,*,*,*,d5
*,2t0,*,*,10,*,*,0,*,*,5
10,15905,20,40,v615,1220,*,520,1x15,20,3500
*,240,2d0,60,590,70,*,575,*,*,860
*,60,10,*,20,10,*,51,15,*,30
*,30,*,*,10,*,*,10,*,*,10
*,1w0,*,*,*,*,*,*,*,*,*
*,4370,5,50,1235,230,*,530,*,*,2075
*,2220,70,35,27a0,115,*,255,0,*,1780
*,q105,*,*,*,5,*,*,*,*,15
*,45,*,*,5,*,*,*,*,*,20
*,1i0,*,*,*,*,*,*,*,*,*
*,0,*,*,*,*,*,*,*,*,5
*,5,*,*,*,*,*,*,*,*,h5
*,3150,55,80,755,c270,*,745,135,*,1850
*,d5,*,*,*,*,*,*,*,*,*
*,35,*,*,*,*,*,*,*,*,0
*,d75,*,*,*,*,*,*,*,*,*
*,60,*,*,5,*,*,5,*,*,*
*,160,5,*,5,*,*,5,*,*,*
*,15,*,*,x5,*,*,*,*,*,5
*,135,*,*,*,*,*,*,*,*,*
*,6730,40,*,952,203,*,20a5,*,*,75
*,2005,02,45,175,470,*,80,*,15,280
*,10,*,*,*,*,*,*,10,*,5
*,,*,*,*,*,*,*,*,*,*
*,m5,*,*,*,*,*,*,*,*,*
*,10,*,*,*,*,*,*,*,30,5
*,54,*,*,15,*,*,10,*,*,20
*,1935,57,0,350,101,*,230,1m35,*,950
*,10,***,*,5,*,*,*,*,*,*
*,10,10,*,1r0,*,*,5,*,*,*
*,115,5,*,20,45,*,20,30,*,55***
*,10,10,*,5,*,*,5,*,*,*
*,30,*,*,*,5,*,*,60,*,20
*,70,*,*,10,5,*,5,30,*,20
*,50,,*,*,*,*,*,*,*,35
*,0,*,*,5,*,*,*,*,*,15
*,4265,07,120,1020,215,*,950,80,*,1905
5,4465,55,*,1410,255,*,515,40,*,955
*,*,*,*,*,*,*,*,*,0,*
*,4565,17e5,210,1140,270,*,1030,80,*,2305
*,70,*,*,15,10,*,15,*,*,0
*,10,*,*,10,*,*,5,*,*,
*,75,*,*,5,10,*,*,*,*,*
*,2380,30,65,15,100,*,595,*,*,935
10,2570,5,p5,250,160,***,205,*,*,1350
*,5715,220,204,590,25,5,555,*,*,2315
*,5445,240,205,1110,300,*,1030,505,*,2870
*,,*,*,*,*,*,*,*,*,*
*,95,*,*,5,*,*,*,*,*,*
*,100,*,*,15,51,*,1n0,*,*,30
*,25,5,*,5,*,*,s5,*,*,5
*,20,*,*,10,*,*,5,*,*,5
*,50,*,*,15,20,*,*,*,*,5
*,57,*,*,*,*,*,*,*,*,*
*,45,*,*,*,15,*,*,*,*,3t0
*,0,*,*,k10,*,*,h5,*,*,*
*,25,*,*,*,*,*,*,*,*,20
*,85,*,*,3h0,15,*,52,*,*,5
*,10,5,*,,*,*,o5,*,*,h5
*,01,5,*,,*,*,5,*,*,*
*,45,*,*,15,k5,*,5,*,*,15
*,75,*,*,,5,*,5,*,*,*
*,3870,0,100,545,65,*,385,55,*,1615
*,15,10,*,5,*,*,5,*,*,10
*,p5,*,*,*,*,*,*,*,*,*
*,p10,*,*,*,*,*,*,10,*,5
5,3025,5,5,165,255,*,135,*,*,1285
*,4255,10,135,1640,265,*,1050,*,*,3420
*,65,*,*,*,5,*,*,*,*,15
10,6290,70,195,430,100,*,405,60,05,3810
*,5,*,*,*,*,*,*,*,*,y5
*,15080,140,5,835,1085,*,725,775,10,3620
20,5890,95,25,1135,285,*,885,125,*,3051
*,10,*,*,z10,*,*,***,*,*,*
*,135,*,5,15,0,*,5,*,*,40
*,1765,45,55,310,85,*,280,110,*,880
*,3210,40,70,355,140,*,301,15,*,2165
*,5,*,*,*,*,*,*,*,*,*
*,5,*,*,,5,*,,*,*,10
*,215,10,*,5,30,*,54,*,*,115
*,s5,*,*,*,*,*,*,*,*,*
15,p3320,10,60,685,910,*,603,30,35,2320
*,5225,180,15,660,350,*,595,265,*,5275
*,,*,*,*,*,*,*,*,*,*
20,05,25,*,65,*,*,55,85,*,t65
*,01,01,*,5,*,*,5,*,*,*
*,75,51,*,15,*,*,15,*,*,30
10,2670,75,15,730,1h30,*,530,95,*,t1510
*,j55,*,*,*,5,*,*,0,*,*
*,255,*,*,*,10,*,*,*,*,60
*,16905,30,265,4475,970,*,820,*,*,860
*,75,15,*,15,*,*,o15,*,*,5
*,4385,65,60,0,370,*,55,*,*,3625
*,20,*,*,10,*,*,10,*,*,15
*,14845,135,208,735,1025,*,620,30,*,5905
*,1h0,*,*,*,*,*,*,*,*,*
*,4095,*,125,1657,720,*,1060,*,*,3475
75,2450,725,08,245,415,*,225,*,*,1945
*,20,*,*,*,10,*,*,*,*,5
*,9000,20,185,1780,705,*,1570,0,*,5135
*,0,*,*,*,*,*,*,*,*,*
*,u5,*,*,*,*,*,*,*,*,*
i5,6110,115,*,945,80,*,305,*,*,150
*,7970,150,*,60,775,*,550,395,*,1310
*,90,*,*,5,10,*,,*,*,25
*,b5,*,*,*,*,*,*,*,*,*
5,4900,40,120,405,75,*,39v0,60,*,2290
*,30,*,*,10,*,*,10,*,*,3y0
*,45,*,*,*,5,*,*,30,*,01
*,5,*,*,*,*,*,*,30,*,*
*,30,*,*,*,5,*,*,*,*,15
*,,*,*,*,*,*,*,*,*,*
*,3740,60,95,525,150,*,370,5,*,1575
*,25,*,*,10,*,*,10,*,*,1f5
*,5,*,*,*,*,*,*,*,*,*
*,p20,*,*,*,5,*,*,*,*,*
*,2u0,*,*,*,*,*,*,*,*,5
*,k5,*,*,10,*,*,*,*,*,*
45,10985,215,310,85,1015,l5,795,2u05,*,3135
10,22075,240,85,1885,395,10,1675,275,*,215
*,95,*,*,10,5,*,10,*,*,35
*,3515,70,105,730,25,*,590,11n0,*,1425
*,55,5,*,5,*,*,5,*,*,*
*,25,5,*,15,*,*,10,*,*,5
145,22160,125,450,2095,2865,5,1895,785,*,10445
*,125,5,*,15,*,*,15,*,*,20
*,10,5,*,5,*,*,m5,*,*,*
*,6190,80,100,1000,3p30,5,965,*,*,5020
*,210,*,*,50,25,*,02,*,*,85
*,6475,120,*,8n75,220,*,175,*,*,*
*,*,*,*,*,*,*,*,03,*,*
*,10,5,*,*,*,*,*,*,*,10
*,45,5,*,5,*,*,5,*,*,*
*,20,*,*,*,*,*,*,60,*,*
*,95,*,*,*,*,*,*,*,*,*
*,***,*,*,*,*,*,*,*,*,*
*,4450,55,165,85,375,*,50,*,*,3w680
*,245,*,*,1q0,25,*,10,30,*,70
5,2995,45,50,565,55,*,g535,5f0,*,1470
*,35,*,*,10,10,*,10,*,*,20
*,5,*,*,*,b5,*,*,*,*,*
*,01,*,*,*,*,*,*,*,*,*
*,7058,115,50,1095,30,*,980,5,,2105
5,4445,75,120,1040,235,*,965,80,*,980
*,45,*,*,*,15,*,*,*,*,02
*,1810,*,*,70,125,*,55,*,*,730
*,55,*,*,5,*,*,5,*,*,5
*,7609,5,415,3575,520,*,w1080,*,*,4470
*,15,*,*,*,5,*,*,*,*,*
*,10,10,*,01,*,*,10,*,*,*
5,2600,5,90,390,*,*,3c85,130,*,1230
*,10,10,*,01,*,*,10,*,*,*
*,3310,30,*,*,320,*,*,*,*,310
*,35,*,*,10,*,*,10,0,*,10
*,30,*,*,*,*,*,*,*,*,s10
*,25,*,*,5,5,*,5,*,*,10
*,01,*,*,*,*,*,*,*,*,*
*,6665,60,185,840,470,*,750,30,*,2780
0,150,50,*,w45,b5,*,45,*,*,105
*,15,*,*,,*,*,p5,*,*,10
*,01,01,*,10,*,*,,*,*,01
*,2651,20,20,105,65,*,105,*,*,180
*,20,*,*,*,*,*,*,20,*,15
*,305,15,*,60,10,*,5,*,*,85
*,,*,*,*,*,*,*,*,*,*
*,8265,15,140,705,160,*,465,185,*,2290
*,***,*,*,*,*,*,*,*,*,*
*,25,*,*,*,*,*,*,*,*,
*,1490,30,50,85,340,*,50,09,*,300
*,,*,*,5,*,*,*,30,*,*
***,7715,70,5,7r10,210,*,170,30,*,275
*,2285,*,*,*,904,*,*,*,*,*
*,u10,*,*,*,5,*,*,*,*,*
*,19795,480,525,3110,3025,01,2800,1105,*,r11380
*,6400,120,165,815,40,*,800,460,30,1820
*,100,10,*,10,*,*,5,*,*,35
*,55***,*,*,*,15,*,*,*,*,35
*,51,*,*,*,*,*,*,*,*,5
*,20,15,*,10,*,*,10,*,*,20
*,10,*,*,*,10,*,*,*,*,5
*,25,*,*,*,5,*,*,*,*,15
15,11575,225,270,730,480,*,6w25,06,*,4010
*,6355,200,110,710,210,5,659,10,*,2585
5,4540,o80,55,275,170,*,270,65,30,505
*,1690,20,50,105,215,*,95,*,*,1125
*,45,*,*,*,*,*,*,*,*,51
*,*,*,*,*,*,*,*,25,*,*
*,04,15,*,15,*,*,15,*,*,2r0
*,1865,45,60,355,30,*,315,40,*,1235
10,2415,100***,235,1240,35,*,945,*,*,21e50
*,15,*,*,*,*,*,*,*,*,***
*,***,*,*,*,*,*,*,*,*,*
*,7370,75,*,00,310,*,200,*,*,*
*,,*,*,*,*,*,*,*,*,*
*,9755,95,05,1230,580,*,1110,90,10,4125
*,155,5,*,10,20,*,10,*,*,45
*,45,*,*,*,5,*,*,*,*,*
*,51,*,*,*,*,*,*,*,*,*
*,25,*,*,10,*,*,***,10,*,51
*,0,*,*,10,5,*,01,*,*,20
5,8470,710,250,85,254,*,760,35,*,360
*,354,*,c5,20,04,*,15,*,*,65
*,1985,40,100,415,100,*,405,150,*,1045
*,70,*,*,10,35,*,10,15,*,0
*,57,*,*,10,5,*,10,*,*,20
55,3965,25,110,80,*,*,760,145,*,160
*,25,25,*,25,*,*,20,*,*,*
*,3k5,*,*,*,*,*,*,*,*,15
*,49d50,160,185,908,235,*,910,440,*,2675
*,90,*,*,10,10,*,1e0,*,*,35
*,50,*,*,*,*,*,*,*,*,10
*,4290,160,115,890,430,*,800,57,*,1935
*,2895,75,100,570,225,*,545,285,*,g820
*,6055,1y05,165,785,40,*,775,500,30,1630
*,***,*,*,*,*,*,*,*,*,*
5,5,*,*,5,*,*,*,*,*,*
*,m15,*,*,5,*,*,*,*,*,*
*,185,105,175,570,145,*,545,2h5,*,3870
*,225,*,*,10,25,*,10,*,*,35
*,,*,*,*,*,*,*,*,*,*
*,60,*,*,*,5,*,*,*,*,*
*,30,*,*,*,5,*,*,*,*,25
*,75,*,*,*,50,*,*,*,*,*
*,***,*,*,*,*,*,*,*,*,*
*,53,*,*,20,*,*,15,*,*,15
*,390,*,*,10,90,*,10,*,*,40
*,115,*,*,,*,*,5,*,*,5
*,5665,105,*,890,260,*,260,*,*,*
*,694w5,115,*,535,210,*,115,*,*,100
*,3440,5j0,70,375,160,*,325,15,*,2200
5,3300,80,n5,770,100,*,670,45,*,1050
*,5,*,*,*,*,*,*,*,*,*
*,6f0,*,*,*,*,*,*,*,*,1h5
*,b60,*,*,*,*,*,*,*,*,*
*,385,40,70,220,315,*,201,f95,*,1405
*,2905,3y0,25,120,100,*,151,*,*,240
*,45,*,*,*,*,*,*,*,*,20
3j5,5195,60,55,165,380,*,1065,60,5,1600
*,55,*,*,*,*,*,*,*,*,10
*,***,*,*,*,*,*,*,*,*,*
*,30,*,*,*,10,*,*,*,*,*
*,5,,*,*,*,*,*,*,*,*
*,75,*,*,10,5,*,10,*,*,35
*,4705,100,115,645,665,*,605,*,*,1340
*,5,*,*,*,*,*,*,*,*,a5
*,,*,*,*,5,*,*,*,*,*
*,,*,*,*,*,*,*,*,*,*
*,0,*,*,*,*,*,*,*,*,5
*,1w0,*,*,*,*,*,*,*,*,*
*,50,s30,*,35,*,*,5,*,*,5
*,2160,20,35,60,15,*,55,5,*,1275
*,r10,*,*,*,*,*,*,*,*,*
*,56,*,*,30,*,*,01,*,*,*
*,10,10,*,10,*,*,10,*,*,*
*,,*,*,*,*,*,*,*,*,*
*,20,*,*,01,*,*,10,*,*,h10
*,51,*,*,*,*,*,*,*,*,*
*,s5,*,*,*,*,*,*,*,*,*
5,10,*,*,5,*,*,*,*,*,*
*,h10,*,*,5,*,*,5,*,*,5
*,5,*,*,*,5,*,*,*,*,*
03,3155,15,70,245,350,*,385,160,*,1355
*,50,***,*,3r0,*,*,15,*,*,l20
*,i30,*,*,***,*,*,*,*,*,15
10,55,40,*,*,*,*,*,*,*,*
*,20,*,*,*,*,*,*,p90,*,*
*,6460,60,150,990,585,*,9l00,*,5,1965
*,01,*,*,*,*,*,*,*,*,*
*,465,*,*,10,30,*,10,*,*,55
*,220,5,*,15,20,*,10,*,*,15
*,l20,*,*,*,*,*,*,*,*,*
*,,*,*,*,*,*,*,*,*,*
*,,*,*,*,*,*,*,*,*,*
*,30,*,*,5,*,*,5,*,*,w15
*,f5,*,*,*,*,*,*,*,*,*
*,30,*,*,5,*,*,1c0,*,*,15
*,50,*,*,30,*,*,*,*,*,*
35,2970,52,*,375,330,*,335,30,*,1025
*,5,*,*,5,*,*,5,*,*,***
*,05,*,*,25,15,*,20,*,*,70
75,4085,30,x90,415,440,*,370,175,*,1655
*,25,*,*,5,*,*,5,*,*,*
*,1600,20,1q5,1g95,85,*,175,30,*,300
*,***,*,*,*,*,*,*,*,*,*
*,51,*,*,*,*,*,*,*,*,*
*,75,0,*,***,10,*,*,*,*,5
*,0,*,*,*,*,*,*,*,*,*
*,50,40,*,35,*,*,5,*,*,f20
*,1r05,01,*,1n5,35,*,10,15,*,35
*,460,65,50,58,325,,0,215,15,2500
*,140,p5,*,5,10,*,*,25,*,75
*,1905,40,0,250,80,*,230,h10,*,68f5
*,2455,*,*,*,120,*,*,*,*,*
10,6625,215,235,960,1055,*,865,185,*,1695
5,5,5,*,5,*,*,*,*,*,*
*,4090,35,75,305,510,*,290,*,*,2f755
*,2125,*,*,60,160,*,05,30,*,940
*,03,*,*,*,*,*,*,*,*,*
*,15,*,*,10,*,*,j5,*,*,10
*,3015,*,20,t120,235,*,100,30,*,580
*,571x5,0,125,125,345,*,80,*,*,3235
*,1785,50,53,245,255,*,25,90,*,140
*,,*,*,*,*,*,*,*,*,*
*,53,*,*,*,*,*,*,*,*,10
5,655,11l0,150,1j050,605,*,35,*,***,2030
*,k15,*,*,***,*,*,*,*,*,10
*,a5,*,*,*,*,*,*,*,*,*
5,8950,120,15,920,63o5,*,805,75,*,6195
*,50,*,*,15,*,*,10,*,*,25
*,2350,*,*,70,175,*,55***,30,*,970
*,5,*,*,*,*,*,*,*,*,*
*,06,20,*,50,*,*,45,*,*,40
*,***,*,*,*,*,*,*,*,*,*
*,1u80,*,*,*,*,*,*,*,*,*
*,15,*,*,*,*,*,*,*,*,01
*,75,,*,10,*,*,5,*,*,52
*,l10,*,*,*,*,*,*,*,*,*
*,10,*,*,*,5,*,*,15,*,*
*,25,*,5,15,*,*,15,*,*,20
*,85,5,*,15,40,*,15,03,*,40
*,1l70,*,*,*,*,*,*,*,*,*
*,54,*,*,*,*,*,*,30,*,*
*,125,*,*,*,*,*,*,*,*,*
*,370,15,20,50,55,*,45,30,*,350
*,180,02,*,20,*,*,20,0,*,30
*,54,*,*,*,*,*,*,*,*,10
*,30,*,*,5,*,*,*,*,*,15
*,60,*,*,*,*,*,*,*,*,q5
*,*,*,*,*,*,*,*,*,l30,*
*,01,*,*,*,*,*,*,*,*,***
*,***,*,*,*,*,*,*,*,*,*
*,0,*,*,*,*,*,*,*,*,g5
*,2490,30,5,40,230,*,v25,*,*,2120
*,5825,54,65,2p90,140,*,2f50,35,*,375
*,01,*,*,*,5,*,*,*,*,*
*,170,5,*,10,15,*,01,*,*,35
*,80,20,*,15,*,*,15,*,*,35
*,15,10,*,10,*,*,*,*,*,*
*,02,*,*,*,*,*,*,*,*,10
*,90,*,*,0,51,*,1h0,*,*,40
*,2r5,*,*,5,*,*,*,*,*,5
5,325,50,55,575,175,*,40,05,*,1530
*,165,,*,45,40,*,35,*,*,90
*,5585,35,75,245,i330,*,230,70,*,1945
*,25,*,*,*,5,*,*,*,*,*
*,,*,*,*,*,*,*,*,*,*
*,20,*,*,15,*,*,g15,*,*,20
*,3900,50,*,280,205,*,21o0,55***,*,1420
*,3195,80,105,80,260,*,555,285,*,1000
*,100,5,*,15,35,*,15,15,*,35
,2006,10,*,125,130,*,100,*,*,7n60
5,10c845,160,265,z560,4i20,*,502,*,*,3s645
*,45,*,*,15,,*,10,*,*,0
*,225,*,*,*,5,*,*,*,*,50
*,65,*,*,5,*,*,5,*,*,51
*,3745,35,130,705,180,*,65,*,*,1200
*,5020,70,225,835,320,*,645,v75,*,1860
*,,*,*,*,*,*,*,*,*,5
*,45,35,*,25,*,*,25,*,*,35
***,045,15,5,300,80,*,21w5,45,*,1125
*,14960,315,*,1585,1560,5,1155,75,*,6695
k5,10290,225,360,1675,865,q5,1520,70,*,3940
*,9451,130,190,1890,795,*,580,10,*,5170
*,20,5,*,*,06,*,*,35,*,35
*,s40,0,*,10,*,*,10,*,*,20
*,15,*,*,,*,*,f5,*,*,10
*,h10,*,*,*,*,*,*,*,*,*
*,1t0,*,*,*,*,*,*,*,*,0
*,14945,125,185,915,851,*,65,1303,*,5220
*,115***,*,*,5,*,*,*,*,*,20
*,5,*,*,c5,*,*,*,*,*,*
*,30,*,*,*,5,*,*,*,*,01
*,135,20,5,03,20,*,5,260,*,60
*,m5,*,*,*,*,*,*,*,*,*
*,7120,50,*,595,195,*,85,*,*,*
10,2200***,*,*,70,150,*,45,30,*,865
*,80,*,*,*,0,*,*,*,*,*
*,5,*,*,*,*,*,*,25,*,*
*,1638z0,65,*,700,1355,*,685,75,40,3053
*,110,*,*,*,15,*,*,*,*,90
*,2o5,*,*,*,*,*,*,*,*,5
*,6390,251,175,1250,680,*,645,65,*,335
*,*,*,*,*,*,*,*,*,5,*
*,5,*,*,*,*,*,*,*,*,*
*,5,*,*,*,*,*,*,*,*,***
*,125,*,*,*,15,*,*,*,*,*
*,150,*,*,5,*,*,***,*,*,5
*,30,*,*,*,*,*,*,*,*,10
*,***,*,*,*,*,*,*,*,*,*
*,f25,*,*,*,10,*,*,*,*,10
*,2905,10,75,1140,205,*,555,80,*,1895
*,2700,20,l30,335,33l0,*,315,10,10,6x80
*,04,5,*,5,*,*,***,*,*,*
*,54,*,*,15,5,*,10,*,*,15
*,4o5,*,*,*,*,*,*,*,*,*
*,50,*,*,*,5,*,*,*,*,5
*,90,5,*,40,50,*,30,010,30,7i0
*,30,*,*,*,15,*,*,*,*,*
*,428i0,165,155,1190,245,5,1095,215,*,2190
*,4605,140,180,925,230,*,860,345,*,2525
*,90,*,*,*,*,*,*,*,*,*
*,j5,*,*,*,*,*,*,*,*,*
*,01,*,*,*,*,*,*,*,*,*
*,25,*,*,20,*,*,1k0,*,*,*
*,53,*,*,*,*,*,*,*,*,5
*,100,*,*,10,5,*,10,*,*,65
*,5325,90,40,335,350,*,295,70,*,190
*,72g45,200,115,703,285,*,70,10,*,2660
*,10,*,*,*,*,*,*,35,*,*
*,185,*,*,10,15,*,10,30,*,60
*,50,10,*,10,*,*,01,*,*,5
*,208i0,25,35,85,100,*,80,*,*,570
*,15,*,*,5,*,*,5,*,*,0
*,80,*,*,25,5,*,15,*,*,45
*,5,*,*,*,5,*,*,*,*,*
*,20,*,*,10,*,*,5,*,*,*
*,3840,30,115,805,285,*,695,10,*,1120
75,2335,265,08,220,410,*,210,*,*,1920
*,85,*,*,*,*,*,*,*,*,10
*,k10,*,*,*,*,*,*,*,*,*
*,80,*,*,h5,01,*,b5,*,*,35
*,80,q10,*,01,*,*,01,*,*,*
*,***,5,*,*,*,*,*,*,*,*
*,185,*,*,*,10,*,*,*,*,s45
5,4570,95,50,840,585,*,80,110,*,2745
*,2370,120,103,665,80,*,615,185,*,200
*,10,*,*,*,*,*,*,*,*,***
*,25,*,*,*,*,*,*,*,*,***
10,9545,l125,295,2200,395,10,130,*,*,3570
*,a30,25,*,10,*,*,*,*,*,*
*,10,*,*,,*,*,5,*,*,5
*,55,*,*,20,5,*,20,*,*,04
*,,*,*,*,*,*,*,*,*,*
*,60,*,*,***,10,*,*,*,*,15
*,2245,45,05,15,4x70,*,135,60,*,475
*,105,*,*,5,15,*,5,*,*,45
*,2675,20,45,945,100,*,485,*,*,815
*,1a9120,200,435,5220,1050,*,2210,195,*,8900
*,01,*,*,*,*,*,*,*,*,*
*,1925,5,120,365,135,*,20,*,*,75
*,2415,5,55,40,225,*,20,*,*,2055
*,0,*,*,*,*,*,*,*,*,*
*,55,*,*,*,5,*,*,*,*,15
*,3000,5,*,55,15,*,15,*,*,350
*,20,*,*,*,*,*,*,30,*,5
*,***,*,*,*,*,*,*,*,*,5
*,2755,*,20,75,175,*,0,*,*,500
*,365g5,75,105,735,204,*,509,115,*,465
*,25,,*,5,***,*,5,90,*,10
*,1n5,,*,5,*,*,5,*,*,10
*,210,*,*,*,*,*,*,*,*,*
*,3e5,*,*,5,,*,5,*,*,15
*,45,*,*,*,*,*,*,*,*,5
*,4030,05,125,360,95,*,155,90,30,635
*,7795,60,75,445,320,*,240,130,*,2345
*,j5,*,*,*,*,*,*,*,*,*
*,115,***,*,20,25,*,15,*,*,54
*,15,*,*,*,*,*,*,30,*,1q0
*,205,10,*,25,20,*,0,*,*,5r0
*,*,*,*,*,*,*,*,*,30,*
*,,*,*,*,*,*,*,*,*,*
20,6285,125,180,1705,370,*,980,30,*,3585
*,5,*,*,*,*,*,*,*,*,*
*,145,*,*,*,*,*,*,*,*,30
*,40,*,*,v5,*,*,j5,*,*,5
*,3720,55,155,850,220,*,8u10,60,*,2130
*,***,*,*,*,*,*,*,*,*,*
*,365,*,*,*,15,*,*,*,*,90
*,m10,*,*,*,*,*,*,*,*,5
*,*,*,*,*,*,*,*,q5,*,*
*,c10,*,*,*,*,*,*,*,*,*
10,4655,45,*,85,470,*,170,10,70,975
*,20,51,*,15,*,*,15,*,*,*
*,50,*,*,*,*,*,*,5,*,10
*,5,*,*,*,*,*,*,*,*,*
*,5090,65,*,1650,25,*,70,30,*,225
*,95,*,*,5,***,*,5,*,*,*
*,5245,85,95,515,330,15,460,110,*,4105
*,15,*,*,*,5,*,*,*,*,10
*,***,*,*,*,*,*,*,*,*,5
*,d5,*,*,*,*,*,*,*,*,*
*,4295,50,85,280,360,*,h265,65,*,1560
*,51,*,*,5,*,*,5,*,*,b5
*,m5,*,*,*,*,*,*,*,*,*
*,40,*,*,*,*,*,*,*,*,***
10,10,*,*,*,*,*,*,*,*,*
*,50,*,*,20,*,*,10,*,*,15
02,27525,z305,425,1930,345,*,1180,4080,*,9220
*,*,*,*,*,*,*,*,*,25,*
*,*,*,*,*,*,*,*,15,*,*
*,z5,*,*,*,*,*,*,*,*,*
*,75,*,*,*,1t0,*,*,*,*,55
*,20,*,*,*,*,*,*,*,*,65
*,25,*,*,*,15,*,*,*,*,***
*,58,5,*,10,*,*,5,*,*,*
5,7475,8f5,*,835,320,*,r225,30,30,95
*,e30,*,*,15,*,*,15,*,*,15
15,22995,260,359,195,465,10,1705,25,*,2865
10,1k0455,00,240,955,575,*,610,2095,*,3960
*,5,*,*,*,0,*,*,*,*,40
*,4325,115,95,345,890,*,325,*,*,990
*,19z30,m15,15,506,155,*,440,165,*,1315
*,10,5,*,*,*,*,*,*,*,*
10,4380,50,125,845,35,*,730,15,03,1255
45,11020,120,235,545,930,5,75,160,*,4455
*,120,*,*,5,10,*,*,*,*,*
*,20,*,*,10,*,*,*,*,*,*
*,20,*,*,***,*,*,*,*,*,*
*,5,*,*,5,*,*,*,*,*,5
*,0,10,*,01,*,*,10,*,*,*
*,95,10,*,52,5,*,25,*,*,20
*,w45,*,*,*,5,*,*,*,*,10
*,10,*,*,*,*,*,*,*,*,***
10,1930,*,*,0,140,*,30,3y0,*,795
*,01,*,*,*,*,*,*,*,*,*
5,2490,15,y75,170,40,*,160,0,,1680
*,130,5,*,25,3f0,*,20,*,*,110
*,5600,160,240,1115,340,*,900***,75,*,2065
*,***,*,*,*,*,*,*,*,*,*
*,20,20,*,10,*,*,10,*,*,01
*,2545,*,*,*,1045,*,*,*,*,*
*,45,*,*,*,10,*,*,*,*,*
*,5,*,*,*,*,*,*,*,*,*
5,9557,1b40,165,1920,559,*,1110,300,*,7230
*,01,*,*,*,10,*,*,*,*,b5
*,25,*,*,*,10,*,*,*,*,10
*,***,*,*,*,*,*,*,*,*,*
*,45,*,*,*,10,*,*,*,*,15
*,535,*,*,*,105,*,*,150,*,*
*,,*,*,*,*,*,*,*,*,*
*,10,*,*,*,10,*,*,*,*,***
*,5830,55,5,8p5,565,*,85,120,30,3k550
*,0,*,*,10,*,*,10,*,*,15
5,15,5,*,*,*,*,*,30,*,1b0
25,4940,110,n160,395,680,*,365,30,*,3335
*,2545,15,30,3a25,310,*,300,5,10,61h0
*,54,*,*,15,10,*,5,*,*,10
*,c15,*,*,*,*,*,*,*,*,
*,50,*,*,5,,*,5,30,*,20
25,4485,145,90,55,585,*,495,06,*,100
*,12685,230,680,1365,80,*,2480,5,*,660
*,35,*,*,5,*,*,*,*,*,***
*,100,*,*,*,*,*,*,*,*,*
*,4965,3f0,50,0175,307,*,005,*,5,1510
*,4255,160,165,175,255,5,108q5,257,*,2185
*,3g0,*,*,15,*,*,10,*,*,5
*,255,55***,54,535,395,*,505,60,*,1855
*,125,5,*,5,*,*,5,*,*,10
*,665,5,*,50,45,*,15,*,*,*
*,101,*,*,*,*,*,*,*,*,25
1x0,2015,10,35,155,240,*,145,55,*,990
*,15,10,*,0,*,*,10,*,*,*
*,75,*,*,10,10,*,10,*,*,52
*,20,*,*,*,10,*,*,*,*,*
*,0,*,*,10,30,*,10,*,*,15
*,1h0,*,*,10,*,*,5,*,*,5
*,220,60,130,90,165,*,555,n5,*,1235
