gender,qc_five_five,q_zero_five_one_two,q_zero_fourbii_one_four,q_zero_threea_one_two,q_zero_nine_one_zero,q_zero_four_zero_six,q_one_eighti_zero_seven,q_zero_nine_one_three,q_one_fived_zero_two_zero_six,q_one_fiveca_zero_four,q_one_zerof_zero_seven,q_zero_threea_one_zero,qc_five_six,q_one_fived_zero_four_zero_two,q_zero_four_zero_two,q_zero_nine_zero_one,q_zero_fourbi_zero_five,q_two_seven_zero_four,q_zero_foura_two_two
Woman,No,No,No,No,Never,***,Have never done this but I am awrae of this,Nyever,No,No,No,Yes,oN,No,3,Once or twice a day,No,Fairly satisfid,No
Woman,Yes,No,No,No,Less often,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,No,Yes,Yes,No,1 - Not a tall interested,Several times a day,No,Fairly satisfied,No
Man,No,No,sNo,o,At least once a week,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yes,Yes,Yes,No,1 - Not at all interested,Once or twice a day,No,Very satisfied,o
Man,No,No,No,No,Never,,Have never done this but I am aware of this,Less often,No,Yes,Yes,Yes,No,lNo,7,At least once a week,No,Fairly dissatisfied,No
Man,No,No,No,No,Less often,5,Have never done this but I am aware of this,Never,No,No,Yes,Yes,No,No,1 - Not at all interested,Several times a dya,No,Fairly satisfied,No
Woman,No,No,No,No,Once or twice a day,4,Have never done this but I am aware of this,Less often,No,iYes,Yes,o,No,o,8,Once or twice a day,No,Fairly dissatisfied,No
Man,Nqo,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,Yes,No,No,No,No,1 - Not at all interested,Several times a day,No,Fairly dissatisfied,Nro
Man,oN,No,No,No,At leastg once a week,2,"Have done / used this at some time in the past, but not in the past 3 months",At least nce a month,No,No,No,Ys,No,No,9,Several times a day,Yes,Neither satisfied nor dissatisfied,No
Man,Yes,No,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Never,No,No,No,es,No,No,1 - Not at all interested,Several times a day,No,Don't know,o
Woamn,oN,No,oNo,No,Never,1 - Not at all interested,Have done/used this in the past 3 months,At least once a week,No,No,Yes,Yes,Yes,No,***,Several times a day,No,Neither satisfied nor dissatisfide,o
Man,o,Yes,o,No,Less often,8,Have never done this but I am aware of this,Several times a day,No,Yes,Yes,Yes,Yes,No,9,Several times a day,No,Neither satisfied nor dissatisfied,No
Man,Yse,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,At least once a mnoth,oN,No,Yes,Yes,No,No,1 - Not at all interested,Several times a day,No,Don't know,No
Man,No,No,No,o,At least once a week,4,Have never done this - and I wasn't aware that this was possible,Once or twice a day,No,No,Yes,No,Yes,No,,Several times a day,No,Fairly satisfied,Yes
Woman,No,No,No,No,At least once a montuh,7,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yes,No,No,No,4,Several times a day,o,Very satisfied,o
Woman,Yes,No,No,No,At least once a week,***,Have never done this - and I wasn't aware that this was possible,At least once a week,Yes,Yes,Yes,Yes,Yes,No,8,Once or twices a day,No,Fairly satisfied,No
Woman,Yes,Yes,No,o,Less often,6,"Have done / used this at some time in the past, but not in the past 3 months",At least once a week,No,Yes,Yes,Yes,Yes,No,6,Once or twice a day,No,Fairly satisfied,No
Mna,o,No,No,No,At least once a month,7,Have done/used this in the past 3 moths,At least one a month,Yes,Yes,Yes,Yes,No,No,10 - Extremqely interested,Several times a day,o,Fairly satisfied,No
Woman,Yes,No,No,Nto,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yes,Yes,Yes,No,5,Once or twice a day,No,Don't know,o
Womn,No,No,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Never,No,Yes,Yes,No,No,No,1 - Not at all interested,Once or twice a day,No,Firly satisfied,No
Woman,No,Yes,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Severla times a day,No,Yes,Yes,oN,No,No,1 - Not at all interested,Several times a day,No,Fairly satisfied,No
Man,No,No,No,No,Less doften,1 - Not at all interested,Have done/used this in the past 3 motnhs,Nveer,No,No,Yes,Yes,No,No,6,Once or twice a day,o,Fairly satisfied,No
Man,No,No,No,o,Once or twice a day,,"Have done / used this at some time in the past, but not in the past 3 months",Several times a day,No,No,No,No,Yejs,No,10 - Extremely interested,Once or twice a day,No,Fairly satisfied,Nao
Mn,No,Noo,No,No,At least once a month,7,Have never done this bu I am aware of this,Several times a day,No,Yes,Yse,Yes,No,No,5,Several times a day,No,Fairly satisfied,oN
Man,No,No,No,Nqo,At least nce a month,6,"Have done / used this at some time in the past, but not in the past 3 months",At least once a week,Yes,es,Yes,No,No,No,m9,Several times a day,o,Fairly satisfied,No
Woman,Yes,No,No,No,Never,x6,Have never done this - and I wasn't aware that this was possible,Less often,No,No,No,Yes,No,o,2,Several times a day,No,Fairly satified,No
Mn,No,nNo,No,No,Never,5,Have never done this but I am aware of this,Once or twice a day,No,Yes,No,Yes,No,No,1 - Not at all interested,Several times ae day,No,Fairly satisfied,No
Mwan,No,Yes,No,No,Less often,6,Have never done this but I am aware of this,At least once a month,No,Yes,Yes,iNo,oN,No,7,Onice or twice a day,No,Neither satisfied nor dissatisfied,Yes
Woman,No,No,No,No,Lessoften,1 - Not at all interested,Have never done this but I am aware of this,Less often,No,Yes,No,Yes,Yes,No,***,At least once a week,Yes,Don't know,No
Alternative,Yes,Yers,oN,No,At least once a week,1 - Not at all interested,Don't know,At least once a week,Yes,No,Yes,No,Ys,No,7,Several times a day,No,Fairly satisfied,No
Woman,No,Neo,No,No,Never,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 months",At least once a month,o,Yes,Yes,Yes,No,No,,nce or twice a day,No,Neither satisfied nor dssatisfied,Yes
Man,No,No,No,No,Less often,7,Have never done this - and I wasn't aware that this was possible,Less often,eYs,No,Yes,Yes,Nco,No,4,Several times a day,No,Fairly satisfied,o
Woman,No,oN,No,dNo,Less often,9,Have done/used this in the past 3 months,Lesrs often,No,Yes,Yes,Yse,Yes,No,8,Several times a day,No,Very satisfied,No
Womna,No,No,No,No,Never,1 - Not atall interested,Have never done this but I am aware of this,Never,No,Yes,Yes,es,No,No,1 - Not at all interested,Once or twice a ay,iNo,Fairly satisfied,No
Womna,es,No,No,No,At least once a month,10 - Extremely interested,Have never done this but I am awcare of this,At least once a month,Yes,Yes,Yes,Yes,Yes,o,6,Several times a day,oN,Very satisfied,oN
Woman,No,No,No,oN,Less often,6,Have never done this but I am aware of this,Less often,Yes,Yes,No,No,Yes,No,8,Several times a day,No,Faily satisfied,No
Woman,No,No,No,Nao,Less often,5,Have never done this but I am aware of this,Less often,o,No,No,Yes,Yes,No,8,Once or twice a day,No,Fairly satisfied,No
Woman,No,No,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Once ozr twice a day,Yes,No,No,Yeds,No,No,1 - Not at all interested,At least once a week,No,Very satisfied,No
Man,No,No,Nco,Nlo,Nevr,3,Have never done this - and I wasn't aware that this was possible,Never,No,Ys,Yes,Yes,No,No,3,Several times a day,No,Very satisfied,Yes
Woman,Yes,No,No,No,Never,2,Have done/used this in the past 3 months,Never,No,Yes,No,Yes,No,No,5,Once or twice a day,Yes,Fairly dissatisfied,oN
Woman,iNo,Nlo,No,No,Less oftn,5,Have never done this but I am aware of this,At least once a week,Nio,Yes,o,oYes,No,No,7,At least once a week,Yes,Fairly satisfied,No
Matn,No,No,oNo,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Never,No,No,Yes,Yes,No,No,1 - Not at all interested,Sevearl times a day,Nso,Don't know,oN
Woman,Yes,No,No,No,Less often,1 - Not at all interested,Have done/used this in the past 3 months,At least once aw eek,No,Yes,Yes,o,No,No,6,Several times a day,No,Fairly satisfied,No
Man,es,No,No,No,At least once a week,5,Have never done this but I am aware of this,At least once a month,Neo,Yes,Yes,Yes,Yes,No,10 - Extremely interested,Once or twice a day,No,Fairly dissatisfied,No
Woman,No,No,oN,No,Less often,,"Have done / used this at some time in the past, but not in the past 3 months",At least once a week,Yes,Yes,No,Yes,No,No,4,Several times a day,No,Neithersatisfied nor dissatisfied,Yes
Man,No,No,No,bNo,Never,4,Have never done this but I am aware of this,Never,No,No,Yes,Yes,No,No,u4,Several times a day,No,Very satisfied,No
bMan,No,o,kNo,No,Less often,1 - Not at all interesed,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yes,Yes,No,No,1 - Not at all interested,Several times a day,No,Don't know,No
Womna,No,No,No,No,Never,***,Have never done this but I am aware of this,Never,No,No,Yes,eYs,Yes,No,8,At least once a week,No,Very dissatisfied,No
Woman,Yes,No,No,No,Less often,8,Have never done this - and I wasn't aware that this was possible,ess often,No,Yes,Yes,Yes,No,No,***,Several times a day,No,Fairly dissatisfied,No
oman,No,No,No,oN,Never,4,Have never done this - and I wasn't aware that this was possible,Once owr twice a day,No,vNo,Yes,Yes,No,No,1 - Not at all interseted,Severla times a day,No,Very satisfied,No
Man,No,No,No,No,Less often,2,Have done/used this in the past 3 months,Less often,No,Yes,Yes,o,No,No,8,Several times a day,oN,Very satisfied,No
Man,No,Yes,o,No,Nver,3,Have never done this - and I wasn't aware that this was possible,Once or twice aday,No,Yes,Nco,No,No,oN,2,Several times a day,o,Fairly satisfied,No
Woman,Ys,Yes,No,o,Less often,3,Don't know,Lss often,oN,Yes,No,No,o,No,10 - Extreely interested,Several times a day,o,Fairly satisfied,No
Man,Yes,Yes,No,No,Never,***,Have never done this - and I wasn't aware that this was possible,Never,nNo,Yes,Yes,No,No,No,***,Several times a day,No,Fairly satisfied,o
Woman,Yes,No,No,No,At least once a week,9,"Havey done / used this at some time in the past, but not in the past 3 months",Less often,Yes,eYs,No,No,o,No,,Once or twice a day,No,Very satisfied,o
Man,Yes,No,No,No,Less often,8,Have done/used this in the past 3 months,Less often,No,Yes,Yes,Yes,Yes,o,***,Several times a day,No,Fairly satisfied,o
Mn,No,o,No,No,At least once a week,10 - Extremely interested,Have never done this but I am aare of this,At least once a week,Yes,Yes,dYes,Yes,No,No,q9,Once or twice a dya,No,Fairly dissatisfied,No
Man,Yes,oN,No,No,At least once a month,8,Have never done this but I am aware of this,At least oncea week,Nho,No,Yes,Yes,pNo,No,9,Once or twice a day,Yes,Fairly satisfied,Yes
Woman,No,No,o,No,Less often,5,"Have done / used this at some time in the past, but not in the past 3 months",Never,Yes,No,Yes,No,No,No,8,Several times a day,No,Fairly satisfied,No
Woman,Yes,No,No,No,Less often,7,"Have done / used this at some time in the past,k but not in the past 3 months",Several times a day,No,No,Yes,Yes,No,Yes,3,Once or twice a day,No,Very satisfied,No
Woman,No,No,No,Nxo,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,Ynes,Yes,No,oN,1 - Not at all interested,Several times a day,No,Don't know,No
Man,No,No,No,No,Never,5,"Have done / used this at some time in the past, but not in the past 3 months",Less often,No,No,Yes,Yes,Yes,oN,3,Once or twice a day,No,Very dissatisfied,oN
Woman,No,No,hNo,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Less often,No,Yes,Yes,Yes,No,No,3,At least once a month,No,Fairly satisfied,Nmo
Woman,No,Yes,No,No,At least once a month,5,Have never done this but I am aware of this,At least once a week,No,Yes,Yes,No,No,oN,***,Several times a day,Yes,Fairly satisfied,No
fMan,No,No,No,No,Never,1 - Not at all interested,Have never done this but I am aeware of this,Several times a day,No,No,Yse,es,No,No,1 - Not at all interested,Once or twice a day,Nko,Fairly satisfied,No
Man,No,Yes,No,No,Less often,6,Have never done this but I am aware of this,Several times a day,No,Yse,Yes,Yes,Yes,No,5,Once or twice a day,No,Neither satisfied nor dissatisfied,No
Woamn,No,No,oN,No,Less often,7,Have never done this but I am aware of this,Never,No,xNo,Yse,No,Yes,No,j9,Once or twice a day,No,Fairly satisfied,No
Woman,Yes,No,No,sNo,Less often,***,Have never done this - and I wasn't aware that this was possible,Less often,No,No,eYes,Yes,No,No,d6,Several times ca day,oN,Fairly sathisfied,No
Man,Yes,Yes,No,No,Several times a day,10 - Extremely interested,"Have done / used this at some time in the past, but not in the past 3 months",Once or twice a day,No,No,Yes,No,No,Yebs,10 - Extremely interested,Several times aday,No,Very satisfied,Yes
Man,Yes,No,No,No,Less often,6,Have never done this but I am aware of this,At least once a week,Yes,Yes,Yes,o,No,No,9,Several times a day,No,Fairly saitsfied,No
Woman,oN,Yes,oN,No,Once oyr twice a day,7,Have done/used this in the past 3 months,At least once a week,Yes,Yes,No,Yes,No,No,8,Several times a day,No,Faeirly satisfied,Yes
an,pNo,No,No,No,At leastonce a month,8,Have done/used this in the past 3 months,Neqver,oN,No,Yes,Yes,No,No,1 - Not at all interested,Several times day,No,Fairly satisfied,No
Woman,Yes,Yes,No,No,Once or twice a day,4,"Have done / used this at some time in the past, but not in the past 3 months",At least once a week,No,No,Yes,No,Ys,rNo,6,Once or twicea day,No,Very satisfied,Yse
Woman,No,No,No,No,At least once a week,2,"Have done / used this at some time in the past, but not in the past 3 months",At least once a month,Npo,Yes,Yes,Yes,No,No,5,At leasut once a week,No,Fairly satisfied,No
Man,No,o,vNo,No,Never,1 - Not at all iterested,Have neve done this but I am aware of this,Never,No,Yes,Yes,Yes,No,No,1 - Not at all interested,At least once a week,No,Don't know,No
Man,No,oN,No,Ndo,Never,1 - Not at all tinterested,Have never done this - and I wasn't aware that this was possible,Never,No,No,No,No,No,No,1 - Not at all interested,Several times a day,No,Fairly dissatisfied,No
Woman,Nwo,oNo,No,No,Neevr,1 - Not at all interested,Have done/used this in the past 3 months,ess often,No,No,Ys,Yes,No,No,3,Severale times a day,No,Fairly satisfied,No
Man,No,Yes,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Never,No,No,Yes,Yes,oN,No,1 - Not at all intetrested,eSveral times a day,oN,Fairly dissatisfied,No
Man,No,Yes,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Nevmer,Yes,No,Yes,Yeds,Yes,No,1 - Not at all interested,Several times a day,No,Don't know,No
Woman,o,No,No,No,Never,1 - Not at all interested,Haveg never done this but I am aware of this,Nefver,Noo,No,Yes,Yes,Yes,No,1 - Not at all interested,Once or twice a day,No,Very satisfied,o
Man,No,No,No,No,Never,1 - Notc at all interested,Have never done this - and I wasn't aware that this was possible,At least once a month,No,No,No,No,No,No,1 - Not at all interested,Several times a day,No,Very satisfied,No
Man,No,No,No,No,Never,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 months",Less often,No,No,Yes,Yes,o,No,6,At least once a week,No,Don't know,Yes
Man,Yes,No,No,No,Neqver,1 - Not at all interested,Have never done this - aand I wasn''t aware that this was possible,Never,aNo,No,Yes,No,No,No,1 - Not at all interested,Several times a day,Yes,Fairly satisfied,No
Mzan,No,No,No,No,Never,5,Have never done this but I am aware of this,Never,No,No,Yes,No,No,No,5,At least once a week,No,Very dissatisfied,No
Man,Yes,Yes,No,No,Nevre,3,Have done/used this in the past 3 months,Never,No,Nwo,eYs,Yes,Yes,oN,5,Several times a day,No,Fairly dissatisfied,No
Womna,Yes,No,No,No,Less often,7,Have never done this but I am aware of this,Once or twice a day,No,Yes,Yes,Yes,No,No,5,Several times a day,No,Fairly satisfied,No
Woman,No,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,No,Yes,No,oN,1 - Not at all interested,Once or twice a day,o,Very satisifed,No
Woman,sYes,Yes,No,No,At least once a month,6,Have done/used this in the past 3 months,At laest once a week,No,Yes,Yems,rYes,oN,No,2,Several times a day,No,Ver satisfied,No
Woman,No,No,No,No,Never,2,Have never done this but I am aware of this,Less often,No,No,Yes,Yes,No,No,- Not at all interested,Several times a day,No,Neither satisfied nor disstaisfied,No
Woman,No,No,No,No,Less often,1- Not at all interested,Have never done thi but I am aware of this,Never,No,Yes,Yse,Yes,No,o,1 -Not at all interested,At least once a week,No,Don't know,No
Man,Yes,No,No,No,At least once a month,c8,Have never done this but I am aware of this,At least once a week,No,Yes,es,Yes,No,oN,8,Several times a day,No,Fairly satisfied,No
Man,sNo,Yes,No,No,Less often,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,At least once a week,No,No,Yes,eYs,No,No,1 - Not at all interested,Several times a day,No,Neither satisfied nor dissatisfied,No
Man,No,oN,oN,No,Several times a day,10 - Extremely interested,Have done/used this in the past 3 months,Once or twice a day,Yes,Yes,No,Yes,oN,No,7,Severa ltimes a day,No,Fairly satisfied,No
Woman,No,o,No,No,Nveer,z5,Have never done this - and I wasn't aware that this was possible,Several times a day,o,No,Yes,Yes,jNo,No,9,Several times a day,No,Very satisfied,No
Woman,Yes,o,No,No,Never,2,Have never done this but I am aware of this,At least once a month,o,No,Yes,Yes,Yews,Nyo,9,Several times a day,No,Don't know,No
Man,Yes,Yes,No,No,Less often,10 - Extremely interestepd,Have never done this but I am aware of this,Less often,Yes,eYs,Yes,Yes,Yes,No,10 - Extremely interested,Several times a day,No,Very satisfied,oN
Wosman,No,No,No,No,At least once a week,s6,Have never done this but I am aware of this,Once or twice a day,Yes,No,Yes,Yes,No,No,y8,Several times a dahy,Nko,Fairly dissatisfied,Yes
an,No,Yeks,No,No,At least once a week,10 - Extremely interested,"Have done / used this at some time in the past, but not in the past 3 months",Several times a day,jYes,No,No,No,No,qNo,10 - Extremely interested,Several times a day,No,Very satisfied,No
Man,No,Yes,No,No,Less often,1 - Nota t all interested,Have never done this but I am aware of this,Less ften,Yes,Yes,Yes,Yes,No,No,,Several times a day,No,Fairly satisfied,No
Man,es,oN,No,oN,eLss often,1 - Not at all interested,Have done/used this in the past 3 months,At least once a month,oN,No,Yes,No,Yes,No,1 - Not at all interested,Once or twice a day,No,Very satisfied,No
Wmoan,No,No,No,No,Less often,6,Have never done this but I am aware of this,Never,No,No,No,Ys,No,No,6,Several times a day,No,Fairly satisfied,No
Man,Yes,Yes,No,No,At least once a monht,,Have never done this - and I wasn't aware that this was possible,At least once a week,Yes,Yes,Yes,Yes,Yes,No,6,Several times a day,No,Fairly satisfied,o
Woman,No,No,No,No,Less often,5,Have never done this - and I wasn't aware that this was possible,At leats once a month,Yse,Yes,Yes,Yes,No,No,4,Once or twice a day,No,Neither satisfied nor dissatisfied,oN
Man,No,No,No,No,Never,3,Have never done this but I am aware of this,At least once a week,Yes,Yes,Yes,Yse,No,No,6,Once or twice a day,oN,Very satisfied,o
Woman,o,No,No,o,At least once a week,1 - Not at al interested,Have never dnoe this but I am aware of this,Never,No,Ys,Yes,Yes,Yse,No,1 - Not at all interested,Several timesa day,No,Don''st know,No
Mna,oN,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn''t aware that this was posible,Never,No,No,No,Yes,o,o,1- Not at all interested,Once or twice a day,No,Fairly satisfied,No
Man,No,Yes,No,No,At least once a week,5,Have never done this but I am aware of this,Never,No,Yes,Yes,Yes,No,No,6,At least once a week,oN,Fairly satisfied,No
Mna,No,No,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Less often,No,No,Yes,Yes,Yes,No,1 - Not at all interested,Once or twice a day,No,Neither satisfied nor dissatisfied,No
Woman,No,No,No,No,Never,g6,Have never done this - and I wasn't aware that this was possible,At least once a week,No,Yes,Yes,oN,Yes,No,1 - Not at all interested,At least once a week,No,Fairly dissatisfied,o
Wmoan,No,Yes,No,o,At least once a week,***,Have neer done this but I am aware of this,At least once a week,Yes,Yes,Yes,Yes,Ynes,No,***,eSveral times a day,Yse,Very satisfied,Yes
Woman,No,eYs,No,No,At least once a week,1 - Not at all interested,Have never done this but I am aware of this,Never,No,o,Yes,Yes,No,No,1 - Not at all interested,Several times ad ay,No,Don't know,No
Man,oN,No,No,No,Never,,"Have done / used this at some time in the past, but not in the past 3 months",At least once a month,No,Yes,No,No,iNo,No,8,Several times a day,Nko,Fairly saitsfied,No
Man,No,Yes,Nao,No,Lesso ften,2,Have done/used this in the past 3 months,Once or twice a day,No,No,No,Yes,Yes,No,***,Several times a day,No,Fairly satisffied,No
Man,Yes,Yes,No,o,At least once a month,***,Have done/used his in the past 3 months,Oce or twice a day,No,No,Yes,Yeys,No,No,7,Several times a day,No,Very satisfied,No
Mman,No,No,oN,No,Lesso ften,8,"Have done / used this at some time in the past, but not in the past 3 months",Less often,No,No,No,Yes,No,oNo,9,At least once a week,Nso,Fairly satisfied,No
Woman,o,No,No,No,Never,1 - Not at all interested,"Have done / used this at some time in the past, but not in the past 3 months",Never,No,Yess,No,Yes,o,No,7,Several times a day,No,Fairly satisfied,No
Man,No,oN,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,At least once a week,No,Yes,No,Yes,No,No,p2,Several times a day,Nxo,Don't know,No
Man,No,No,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Never,No,No,Yes,No,Yes,No,2,Less often,o,Fairly satisfied,No
Woman,No,Yes,No,No,Less ofqten,1 - Not at all rinterested,Have done/used this in the past 3 monpths,Never,No,Ybes,Yes,Yes,Yes,No,1 - Not at all interested,Several times a day,No,Don't know,No
Maon,oN,Yes,oN,No,Several times a day,10 - Extremely interested,"Have done / used this at some time in the past, but not in the past 3 months",At least once a week,Yes,o,Yes,Yes,Yes,o,10 - Extremely interested,Several times a day,No,Very satisfied,No
Man,Yes,No,No,No,Never,***,Have done/used this in the past 3 months,Nevr,No,No,es,Yes,No,No,1 - Not at all interested,Once or twice a day,No,Neither satisfied nor dissatisfied,No
Woman,No,No,No,No,Never,5,Have never done this - and I wasn't aware that this was possible,Never,o,No,No,Yes,o,No,5,At least once a week,o,Fairly satisfied,No
Woman,No,o,No,No,wLess often,1 - Not at all interested,Have never done this - and I wasn''t aware that thisz was possible,Once or twice a day,No,No,No,Yes,Yes,No,10 - Extremely interested,Once or twice a day,No,Fairly dissatisfied,No
Wobman,Yes,No,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Never,No,oN,Yes,Yes,Yes,No,1 - Not at all interested,Once or tice a day,No,Fairly satisfied,No
Man,No,No,No,o,Lses often,8,Have never done this but I am aware of this,Never,No,Yes,Yes,Yes,zNo,No,2,Several times a day,No,Fairly atisfied,No
mMan,Yets,No,Nfo,No,Less often,,"Have done / used this at sozme time in the past, but not in the past 3 months",At least once a week,No,Yes,No,Yes,Yes,No,,Several times a day,oN,Fairly satisfied,No
Woman,No,Yes,No,No,At least once a week,9,Have never done this - and I wasn't aware that this was possible,At least once a week,No,No,es,Yes,No,No,10 - Extremely interested,Several times a day,No,Fairly satifsied,No
Man,No,No,No,Nqo,Never,1 - Not at all interested,Have never done this but I am aware of this,Never,No,No,Yes,No,No,No,1 - Not at all interested,Several times a day,No,Don't know,oN
Msan,Yes,Yes,No,No,Less ohften,2,"Have done / used this at some time in the past, but not in the past 3 months",Less often,No,No,Yes,es,No,No,3,Once or twice a day,No,Fairly satisfied,No
Woman,No,No,oN,No,Never,7,Have never done this but I am aware of this,Never,oN,No,Yeas,Yes,No,No,1 - Not at all interested,Several times a day,No,Fairly satisfied,Nmo
Woman,No,No,No,No,Less often,9,Have never done this but I am aware of this,Less often,es,Yes,Yes,Yes,No,No,10 - Extremely interested,Several times a day,No,Fairly satisfied,No
Man,Yzes,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,Nuo,No,Yes,es,No,No,1 - Not at all interested,Several tiems a day,No,Very sattisfied,No
Man,No,Nro,oN,No,Never,1 - Not at all inetrested,Have never done this - and I wasn't aware that this was possible,eNever,o,o,Yes,Yes,No,No,1 - Not at all interested,At least once a month,No,Fairly satisfied,No
Woman,Yes,oN,oN,No,Less often,5,Have never done this but I am aware of this,t least once a week,No,No,Yes,Yes,cYes,o,9,Several times a day,No,Fairly satisfied,No
Man,No,Yes,No,o,Never,5,Have never done this - and I wasn't aware that this was possible,Several times a day,oN,No,Yses,Yes,No,No,q5,At least once a week,Yes,Fairly satisfied,Yes
Man,No,No,No,oN,At least once a month,9,"Have done h/ used this at some time in the past, but not in the past 3 months",ever,No,No,Yes,Yes,Yes,No,6,Several times a day,No,Neither satisfied nor dissatisfied,No
Man,No,No,No,o,Less often,9,Have never done this but I am aware of this,At least once a month,Yes,Nao,Yes,oN,No,No,10 - Extremely internested,pSeveral times a day,No,Fairly satisfied,No
Woman,Yes,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,No,Yes,No,Yes,oN,1 - Not at all interested,Several times a day,No,Neither satisfied nor dissatisfied,o
Woman,Yes,tNo,oNo,Yes,Several times a day,1y0 - Extremely interested,Have done/used this in the past 3 months,Several times a day,No,o,Yes,Yes,Yes,No,3,Several times a day,No,Very satisfied,No
Man,Yes,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,oN,No,No,Yse,No,1 - Not at all interested,Once or twice a day,No,Dont'' know,o
Woman,No,No,No,No,Never,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,Never,No,Yes,Yse,No,No,No,1 - Not at all interested,Once or twice a day,No,Fairly satisfied,No
Man,Yes,No,No,No,Never,2,Have never done this but I am aware of this,Never,No,Yeus,No,No,No,No,2,Once or twice a day,No,Very satisifed,No
Man,oN,No,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Atleast once a week,oN,No,oN,No,No,No,1 - Not at all interested,Several times a day,No,Fairly dissatisfied,No
Woman,No,No,No,No,Les often,5,Hve done/used this in the past 3 months,Less often,Yes,Yes,Yets,No,No,No,k4,Once or twice a day,eNo,Fairly satisfied,No
Man,No,No,No,No,Never,1 - Not at all interested,Have never done this but I am aware of this,Never,No,Yes,No,Yse,Yes,No,1 - Not at all interested,Once or twice a day,No,Neither satisfied nor dissatisfied,No
Womfan,No,No,Nuo,No,Never,1 - Not at all interested,Have never done this but I am aware of this,At least once a month,No,Yes,Yes,Yes,No,No,1 - Not at all interested,Severaltimes a day,No,Fairly satisfied,sNo
Man,No,Yes,No,No,At least once a month,6,"Have done / used this at some time in the past, but not in the past 3 months",At least once a week,No,Yes,No,Yes,No,Yes,7,Several times a day,No,Fairlyt satisfied,No
Man,No,No,No,No,fAt least once a month,7,Have never done this - and I wasn't aware that this was possible,At least once a month,No,Yes,Yes,Yes,No,No,1 - Not at all interested,Several times a day,Yes,Fairly dissatisfied,No
Man,No,No,No,No,Never,1 - Not at all interested,Don't know,Never,No,Nso,No,Yes,No,No,3,At least once a month,No,Neither satisfied nor dissatisfied,oN
Woman,No,No,No,No,Less oten,1 - Not at all intereted,Have never done this but I am aware of this,Less often,No,Yes,es,Yes,No,No,1 - Not at all interested,Several times a day,No,Very satisfieid,o
Woman,oN,No,No,No,Less often,10 - Extremely interested,Have cnever done this but I am aware of this,Less often,Yes,es,Yes,es,No,No,10 - Extremely interested,At least once a week,No,Very satisfied,No
Man,No,No,No,No,eLss often,1 - Not at all interested,Have never done this but I amo aware of this,Less oftne,No,oN,Yse,oN,No,No,4,Several times a day,No,Fairly satisfied,No
an,No,Yes,No,iNo,Less often,1 - Not at all inerested,Have done/used this in the past 3 months,Once or twice a day,No,Yes,Yes,Yes,No,No,10 - Extremely interested,Several times aday,Noo,Very satisfied,No
Man,No,No,No,No,Less oten,1 - Not at all interested,"Hav edone / used this at some time in the past, but not in the past 3 months",Less often,No,oN,Yes,Yes,No,No,1 - Not at all interested,Several times a day,No,Neither satisfied no dissatisfied,Nno
Womaun,No,No,o,No,Less often,1 - Not at all interested,Have never done this - and I wasn't aware that this was possible,At least once a week,No,Yes,Yes,Yes,Yes,No,u1 - Not at all interested,Seveal times a day,No,Don''t knnow,o
Woman,Yes,No,No,No,Less often,5,Have never done this - and I wasn't aware that this was possible,Once or twice a day,No,Yes,o,Yes,Yes,No,6,Several times a day,kNo,Fairly satisfied,No
