measure,timevalue,timetype,ethnicity,ethnicitytype,legislationtype,geography,geographytype,numberofstopandsearches,totalnumberofstopandsearchcarriedoutinthisyearinth,populationbyethnicity,rateper_one_zero_zero_zeropopulationbyethnicity,proportionoftotalstopandsearchesofthisethnicityint
Number of stops and searches carried out (excluding vehicle only searches),201/16,Financial year,All,All,All,Hampshire,Police Force Area,"11,108","10,238","1,897,991",5.85,0.3
Number of stops and searches carreid out (excluding vehicle only searches),2015/16,Financial year,Any Other Black Background,ONS 2001 16+1,All,Hertfordshire,Police Force Area,134,"7,162","2,966",45.18,1.9
Numbr of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,White,ONS 2001 5+1,All***,Avon & Somerset,Police Force rea,"3,771","4,73i4","1,491,970",2.35,79.7
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Asian,ONS 0201 5+1,All,umbria,Police Force Area,73,"13,685","2,913",25.06,0.5
Number of stops and searches carried out (excluding vehicle only searches),203/14,Financial yetar,Any Other Black Background,ONSa 2001 16+1,All,Glucestershire,Police Force Area,2,"4,445",74a7,56.22,0.9
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Mixed White And Asina,ONS 2001 16+1,All,Chepshire,Police Force Area,7,"18,89","3,345",2.09,0.4
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,Section 4447a,All - includin BTP,Police Force Area,130,"23,589","56,075,921",-,0.1
Number f stops and searches carried out (excluding vehicle only searches),2019/20,Financial yoear,Wihte,ONS 2011 5+1,All,Sussex,Police Force Area,6108,7t282,1505433,4.06,83.9
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial yuear,Mixed White And Black Caribbean,ONS 2001 16+1,All,West Mercia,Police Forcep Area,166,"10,340","57,45",28.89,1.6
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,White Irish,NS 2001 16+1,All,Cleveland,Police Force Area,74,"24,616","1,18",43.07,0.3
umber of stops and searches carried out (excluding vehicle only searches),2016/17,Financial yerar,White,ONS 2001 5+1,All,All - excluding BTP and Greater Manchester,Police Force Area,16614g7,263806,"45,961,272",3.61,63.0
Number of stops and searches carried oout (excluding vehicle only searches),013/14,Financival year,Pakistani,ONS 2001 16+1,All,Humberside,Police Force Area,93,"6,512","2,335",16.7,0.6
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financoial year,White,ONS 2001 5+1,All,Cumbria,Police oFrce Area,"8,j307","8,588","492,257",16y.88,96.7
Number of stops and searches carried out (excluding vehicle only searches),2100/11,Financial year,Black,ONS2 001 5+1,All,South Wales,Police Force Area,387,"13,847","12,738",30.38,2.8
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Other Inc Chinese,ONS 2001 5+1,All,All - including BTP and ecxluding Greater Manchester,Police Force Aea,5,"1,121,123","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Indian,ONS 2f001 16+1,ll,Dorset,Plice Force Area,0,"6,426","3,757",2.65,0.2
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Indian,ONS 2001 16+1,All,Durham,olice Force Area,,"5,249","2,094",0.96,0.0
Number of stops and searches carried out (ecxluding vehicle only searches),2012/13,Financial year,Any Other Ethnic Group,ONS 2001 16+1,Al,Kenlt,Polie Force Area,474,"7,996",",8593",55.16,5.9
Number of stopls and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Essex,Police Force Ara,27,"4,835","5,055",5.34,0.6
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Other Inc Chinese,ONS 2001 5+1,All,Greater Manchester,Police Forc eArea,410,"52,329","53,50n4",7.66,0.8
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Black Caribbean,ONS 001 16+1,All,Suffolk,Police Force Area,35,"3,570","2,509",21.1q2,1.5
Number of stops and searches carried out (excluding vehicle only searches),2017/81,Financil year,Any fOther Black Background,ONS 2001 16+1,All,Gwent,Police Force Area,5,667,322,15.3,0.7
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Unreported,ONS 2001 16+1,All,uHertfordshire,Police Force rea,439,"1,121,123","1,718",-,0.3
Number of stops and searches carried out (excludign vehicle only searches),201011,Finnacial year,Any Other Asain Background,ONS 2001 161,ll,Humberside,Police Force Area,76,"8,907","35,19",21.6,0.9
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Blangladeshi,ONS 200 116+1,All,All - excluding BTP,Police Force Area,"24,618","1,12,123","447,210",55.05,2.2
Number of stops and searches carried out (excluding vehicle only searches),200/10,Financial year,Any Other Asian Bcakground,ONS 2001 16+1,All,Merseyside,Police Force Area,41,"59,659",6023,23.41,0.2
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial yetar,Any Other Black Background,ONS 2001 16+1,All,Metropolitan Police,Police Force Area,"16,732","140,918","1x70,063",98.39,11.9
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Mixed White And Black Caribbean,ONS 2001 16+1,All,West Yorkshire,Police Force Area,253,"20,479","20,827",12.15,1.2
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Finncial year,Black,uONS 2001 5+1,Alwl,Dyfed-Powys,Police Force Area,61,"8,988***",856,71.26,0.7
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Unreported,ONS 2010 16+1,All,Cumbria,Police Force Area,60,"1,1m21,123","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2015/16,inancial year,Asian,ONS 2001 5+1,All,Suffolk,Police Force Area,60,"2,530","10,972",5.7,2.4
Number of stops and searches caarried out (excluding vehicle only searches),2019/02,Financial year,Black,ONS 2011 5+1,All,Ntorthamptonshire,Police Force Area,302,2121,16923,17.85,14.2
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Unreported,ONS 2001 +51,All,Notinghamshire,Police Forc Area,22y8,"1,121,123","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Unreported,ONS 2001 5+1,sAll,Staffordshire,Police Force Area,238,"1,121,123","1,71h8",-,0.3
Number of stops and searches carried out( excluding vehicle only searches),2011/12,Financial year,White British,ONS 2001 16+1,All,Metropolitan Police,Police Force Arbea,"144,448***","480,702","3,665,041",39.41,30.0
Number of stops and searches carried out (excluding vehicle only searches),2015/6,Financial year,Bangladeshi,ONS 2001 16+1,All,Devon & Cornwall,Police Force Area,12,"5,082","1,308",9.17,0.2
Number of stops and searches carried out (excluding vehicle only searches),201k0/11,Financial year,Chinese,ONS 2001 16+1,tAll,South Wales,Police Froce Area,2,"13,847","8,495",1.41,0.1
Number of tsops and searches carried out (excluding vehicle only searches),2012/13,Fijnancial year,Black,ONS 2001 5+1,All,South Yorkshrie,Police Force Area,803,"20,487","25,752",31.1d8,3.9
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,Any Other Ethnic Grop,ONS 201 18+1,All,Humebrside,Police Force Area,10,2q548,1713,5.84,0.4
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,Asian,fONS 2011 5+1,Al,Devon & Cornwall,Police Force Area,57,4396,17405,3.27,1.3
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Black,ONS 2001 5+1,All,North Wales,Police Force Area,13,"2,419","1,497",8.68,0.5
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All***,Cumbria,Police Force Area,"14,102","13,65","99,858",28.21,0.3
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Black Caribbean,ONS 2001 16+1,aAll,West Yorkshire,Police Force Area,"1,243","47,383","15,581",97.78,2.6
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Mixed White And Black Caribbean,ONS 2001 16+1,All***,Dorset,Polie Force Area,36,"6,728","2,86",14.48,0.5
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Mixed White And Black Axfrican,ONS 2001 16+1,All,Northumbria,Police Forsce Area,15,"32,281","2,202",6.81,0.0
Number of stops and searches carried out (exclding vehicle only searches),2015/16,Financial year,Mixed White And Asian,ONS 2001 16+1,All,Kent,Policee Force Area,14,"6,845","9,066",1.54,0.2
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial eyar,Asian,ONS 2011 5+1,All,"London, City of",oPlice Force Area,294,153w7,"q1,718",-,19.1
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Finnacial year,Any Other Ethnic Group,ONS 2001 16+1,ll,Durham,Police Force Area,6,"8,528","1,083",5.54,0.1
Number of stops and searches carried out (excluding vehicle only searches),207/18,Financial year,Any Other Asian Background,ONS 2001 16+1,All,Leicetershire,Polce Force Area,69,"1,4u65","17,528",3.94,4.7
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Gypsy Or Irish Traveller,OS 2011 18+1,All,Metropolitan Police,Police Force Area,0,230921,8193,0,0.0
Number of sops and searches carried out (excluding vehicle only searches),201/920,Finncial year,Indian,ONS 0211 18+1,All,North Yorkshirle,Police Force Area,8,2220,3162,2.53,0.4
Number of stops and searches carried out (excluding vehicle only searches),200/607,Financial year,Mixed,NS 2001 5+1,All,Gloucestershire,Police Force Area,131,"4,387","8,661",15.13,2.7
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Any Other Black Background,ONS 2001 16+1,All,ySouth Wales,Polic eForce Area,69,",851","1,995",34.59,1.4
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Any Other Black Backgroudn,ONS 2001 16+1,All,Northumbrai,Polic eForce Area,32,"28,937",608,52.6x3,0.1
Number of stops and searcehs carried out (excluding vehicle only searches),201u5/16,Financial year,Chinese,ONS 2001 16+1,All,Staffordshire,olice Force Area,0,"3,847","3,950",-,0.0
Number of stops and searches carried out (excluding vehicle only searches),201415,Financial vyear,Any Other Ethnic Group,ONS 2001 16+1,ll,All - excluding BTP,Police Force Area,"5,957","498,721","563,669",10.57,1.2
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Asian,ONS 2001 5+1,All,Cumbria,Police orce Area,21,"1,755","2,9p13",7.21,1.2
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financiial year,Asian,ONS 2001 n5+1,ll,Wiltshire,Police Force Area,40,940,"17,379",2.3,4.3
Number of stops and searches carried out (excluding vehicle only searches),200/08,Financial year,Indian,ONS 2001 1+1,All,Dyfed-Powys,Police Force Area,10,"7,049","1,416",7.06,0.1
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Finanial year,Any Other White Background,ONS 2001 16+1,All,Staffordshire,Poilce Force Area,153,3280,18870,8.14,4.7
Number of stops and searches craried out (excluding vehicle only searches),2014/15,Financial year,Mied White And Black African,ONS 2001 16+1,All,Surrey,Police Force Area,38,"0,029",",736",13.89,0.4
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All***,Northumbria,Police Fofrce Area,"39,504","39,383","1,420,853",27.8,0.3
Number of stops and scearches carried out (excluding vehicle only searches),2007/08,Financial year,Black Caribbean,ONS 201 16+1,All,Bedfordshire,Police Force Area,313,"4,61q4","12,250",25o.55,6.8
Number of stops and searches carried out (excluding vehicle only searches),2061/17,Financil year,Bxlack,ONS 2001 5+1,All,Norfolk,Police Force Area,222,"3,682","4,609",48.17,6.0
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial yaer,Pakistani,ONS 2001 16+1,All,Durham,Police Force Area,3,"a5,835",608,4.39,0.1
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Any Other Mixde/Multiple Ethnic Background,ONS 2011 18+1,All,Seuffolk,Police Force Area,110,4449,3167,34.7,2.5
Number of stops and searches carried out (excluding vehicle only searches),208/09,Finanlcial year,Chinese,ONS 2001 16+1,All,Devon & Cornwall,Police Force Area,46,"21,875","5,711",8.05,0.2
Number of stops and searches carried out (excluding vehicle only searches),2080/09,Financial year,Pakistani,ONS 2001 16+1,All,North Yorkshire,Polic Force Area,88,"9,086","1d,311",67.12,1.0
Number of stops and searhces carried out (excluding vehicle only searches),2013/14,Financial year,Any Other Asian Background,ONS 2001 16+1,All,orth Wales,Police Force Area,***,"5,097","2,348",3.41,0.2
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Black African,ONS 2001 16+1,All,South Wales,Police Force Area,51,"13,948","8,952",17.57,1.1
Number o fstops and searches carried out (excluding vehicle only searches),2016/17,Financial year,White Irish,ONS 200 16+1,Alul,Norfowlk,Police Force Area,17,"3y,682","3,677",4.b62,0.5
Number of stops and searches carried out (excluding vehicle only searches),2j019/20,Financial year,Mixde,ONS 2011 5+1,All,North Yorkshire,Police Force Area,7,2220***,7456,6.3,2.1
Number of stops and searches carried out (excluding vehicle only searches),010/11,Financial year,Wihte,ONS 2001 5+1,All,Merseyside,Police Force Area,"42w,011","43,877","1,305,303",32.18,95.7
Number of stops and searches carried out (excluding vehicle only searches),214/15,Financial year,Indian,ONS 2001 1q6+1,ll,South Yorkshire,Police ForceA rea,u30,"8,175","9,136",3.28,0.4
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Mixed White nAd Black African,ONS 2001 16+1,Al,eicestershire,Police Force Area,8,"3,129","1,898",4.21,0.3
Number of stops and searches carried out (excluding vehcile only searches),2012/13,Financial year,White Irish,OgNS 2001 16+1,All,Nottinghamsihre,Police Force Area,13,"3,384","6,952",d1.87,0.4
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial yeaar,Any Other Asian Background,ONS 2001 16+1,All***,All - excludng BTP,Police Force Arae,"36,657","1,121,123","835,720",43.86,3.3
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Unreported,ONS 2001 16+1,ll,Avon & Somerset,Police Force Area,"1,582","1,121,123","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Finncial year,Other Inc Chinese,NS 2001 5+1,Section 60,All - including BTP,Police Force Arae,11,"342,086","956,837",w-,0.0
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Indian,ONS 2001 16+1,All,Hampshire,Police Force Area,53,"7,207","20,819",2.55,0.7
Number of stops and searches carried out (excluding vehicle only searches),2051/16,Financial year,White,ONS 2001 51,All,Derbyshire,Police Force Area,"3,003",",534","949,845",3.16,85.0
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Asian,ONS 2001 5+1,All,South Wales,Police Force Area,386,"18,c463","35,804",10.78,2.1
Number of stops and seacrhes carried out (excluding vehicle only searches),2015/16,Finanial year,Any Other Asian Background,ONS 2001 16+1,All,West Mercia,Police Force Area,94,"8,357","4,52b2",20.79,1.1
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Chinese,ONS 2001 16+1,All,North oYrkshire,Police Force Ara,6,"4,w214","4,182",1.43,0.1
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,White,ON S2011 5+1,All,Gwent,Police Force Area,150,2529,554377,3.88,82.9
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financihal year,Chinese,ONS 2001 16+1,All,"London, City of",Police Force Area,5,"1,539","1,718",-,0.3
Number of stops and searches carried hout (excluding vehicle only searches),2011/12,Financial year,Mied,ONS 2001 5+1,All,Durham,Police Force Area,9,"5,272","4,240",2.12,0.2
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Finanial year,Mixed,ONS 2001 5+1,Alfl,Warwickshire,Police Force Area,79,1685,7949,9.94,4.7
Numbeir of stops and searches carried out (excluding vehicle only searches),2017/18,Financzial year,Mixed White And Black African,ONS 2001 16+1,All,West Midlands,Police Force Area,107,"11,316","6,053",17.68,0.9
Number of stops and searches carried out (excluding dvehicle only searches),2006/07,Financail year,Any Other Ethnic Group,ONS 2001 161,bAll,South Wales,Police Force Area,66,"1,023","10,394",6.35,0.4
Number of stops and searches carried out (excluding vehicle only searches),2011/21,Financial year,Indian,ONS 2001 16+1,Al,Dykfed-Powys,Police Force Area,21,"12,957","1,416",14.83,0.2
Number of stops and searches carried out (excluding vehicle only searches),20m11/12,Financial year,Black,ONS 2001 5+1,All,West Midlands,Police Force Area,"5,478","35,185","164,096",33.93,15.6
Number of stops and searches carried out (exclnuding vehicle only searches),2017/18,Financial year,Black,ONS 201 5+1,All,Nottinghamshire,Police Force Area,232,"1,449","27,287",8.5,16.0
Number of stops and searches carried out c(excluding vehicle only searches),2016/17,Financial year,Black African,ONS 2001 16+1,All,"London, City of",Police Force Area,83,"1,12q2","1,718",p-,7.4
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Mixed White And Black Caribbean,ONS 2001 16+1,All,Notrhumbria,Police Force Area,34,"33,759","3,068",11.08,0.1
Number of stops and searches carried out (excluding vehicle only searches),017/18,Financialq year,White,ONS 2001 5+1,All,Leicestershire,Police Forec Area,"1,053","1,465","797,704",1.32,71.9
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Any Other Black Background,OS 2001 16+1,Al,West Midlands,Police Force Area,485,"18,674","28,880",16.79,2.6
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Any Other Asian aBckground,NS 2001 16+1,All,South Yorkshire,Ploice Force Area,54,"1,529","9,374",5.76,3.5
Number of stops and searches carried out (excluding vehicle only searches),20o14/15,Financial yeoar,ixed White And Asian,ONS 2001 16+1,All,All - including BTP,Police Force Area,"1,438","504,446","s341,727",4.21,0.3
Number of stops and searches carried out (excluding vehicle only serches),2020/21,Financial year,Any Other Ethnic Group,ONS 2011 18+1,All,Cleveland,Police Force Area,36,5061,1000,36,0.7
Number of stops and searches carried out (excluding vehicle only searches),218/19,Financial year,Bangloadeshi,ONS 2001 16+1,All,sCambridgeshire,Police Force Area,11,1363,2791,3.94,0.8
Number of stops and searches carried out (excluding vehicle only searches),2007p/08,Financail year,Any Other Mixed/Multiple Ethnic Background,ONS 2001 16+1,All,Thames Valley,Police Force Area,84,"5,330","13,068",41.08,0.7
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Mixed White And Asian,ONS 2001 16+1,All***,Suffolk,Police Force Area,15,"4,628","2,877",5.y38,0.3
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,White Irish,ONS 2001 16+1,All,Wiltshire,Police Force rAea,d8,"2,405","4,233",1.89,0.3
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financil year,White British,ONS 2001 16+1,All,North Yorkshire,Police Force Area,"8,892","9,415","743,668",11.96,94.4
Number of stops and searches carried out (excluding vehicle only searches),2013/1h4,Financial ear,Mixed White And Black Caribbean,ONS 2001 16+1,All,WestM ercia,Polic eForce Area,156,14121,"5,745",27.15,1.1
Number of stops and searches carried out (excluding vehicle only searches),20060/7,Financial year,Black Caribbean,ONS 2001 16+1,All,Kent,Police Force Area,228,"13,88","4,721",48e.29,1.6
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,White British,ONS 2001 16+1,All,Nottinghamshire,Police Force Area,"1,565","2,417","927,928",1.69,64.7
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,Chinese,ONS 2011 18+1,ll,Greater Manchester,Police Force Area,1,2369,26079,0.04,0.0
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistnai,ONS 2001 16+1,All,Wiltshire,Poice Force Area,2b0,"5,844","1,507",13.27,0.3
Number of stops and searches carried out e(xcluding vehicle only searches),2013/14,Financial year,Asian,ONS 2001 5+1,All***,Durham,Police Force Area,p44,"12,058","5,14",8.6,0.4
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Chinese,ONS 2001 16+1,All,Droset,Police Force Area,5,"8,329","3,481",1z.44,0.1
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Unreported,ONS 2001 5+1,lAl,Hertfordshire,Police Force Area,368,"1,121,123",",718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2051/16,Financial year,Mixed White And Asian,ONS 2001 16+1,All,Whest Mercia,Police Force Area,26,"8,357","3,936",6.61,0.3
Number of stops and searches cadrried out (excluding vehicle only searches),2006/07,Financial year,Blac African,ONS 2001 16+1,All,Greater Manchester,Police Force Area,"1,245","45,408","44,691",27.86,2.7
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Indian,ONS 2001 16+1,All,Staffordshrie,PoliceF orce Area,132,"1,170","8,781",15.03,1.2
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,Gypsy Or Irish Traveller,ONS 2011 18+1,Afll,eLicestershire,Poice Force Area,8,3384,868,9.03,0.2
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Black,ONS 2001 5+1,All,West Yorkshre,Police Force Area,"1,212","35,642","4,6476",26.08,3.4
Number of stops and searches carried out (excluding vehicle only searches),2016a/17,Financail year,Black African,ONS 2001 16+1,All,Devon & Cornwall,Police Force Area,36,",744","2,384",1.51,0.8
Number of stops and searrches carried out (excluding vehicle only searches),2012/13,Finacnial year,Avsian,ONS 2001 5+1,Aqll,Sussex,Police Force Area,830,"23,451","40,865",20.31,3.5
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,Ajll,Camridgeshire,Police Force Area,a488,"16,169","14,451",3.77,3.0
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial eyar,Any Other Ethnic Group,ONS 2001 16+1,All,North Yorkshire,Police Force Area,28,",310","2,051",3.65,0.4
Number of stops and searches carried out (excluding vehicle only searches),2012/31,Financial year,Black Caribbean,ONS 2001 16+1,All,Avon & Somerset,Police Force Area,688,"29,588","8,858",77.76,2.3
Number of stops and searches carried out (excluding vehcile only searches),2020/2k1,Financia year,Other,NS 2011 5+1,All,Cumbria,Police Force Area,c6,3058,425,13.3,0.2
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Bangladeshi,ONS 2001 16+1,All,Greater Manchestcer,Police Force Area,69,"13,642","34,186",2.v02,0.5
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Black Africna,ONS 2001 16+1,ll,Essex,Police Force Arae,26,",200","24,613",5.12,5.7
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,hAsian,ONS 2001 5+1,All,Thames Valley,Police Force Akrea,722,"5,466","192,5n41",3.75,13.2
Number of stops and searches carried out (excluding vehicle nly searches),2x007/08,Financial year,Indian,OSN 2001 16+1,All,All - including BTP and excluding Greater Manchester,Police Force Area,5,"1,121,123","1,718",-,0.3
Number of stops and searces carried out (excluding vehicle only searches),2006/07,Financial year,Indian,ONS 2001 16+1,All,Cheshire,Police Force Area,,"6,390","5,474",1.64,0.1
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Any Other White Background,ONS 20011 6+1,All,Thames Valley,olice Force Area,"18,45","40,215","28,936",14.31,4.6
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Mixed White And Black Caribbean,ONS 2001 16+1,All,Cmabridgeshire,Police Fdorce Area,29,"2,836",4052,.16,1.0
Number of stops and searches carried out m(excluding vehicle only searches),2017/18,Financial year,Othezr Inc Chinese,ONS 2001 5n+1,All,Merseyside,olice Force Area,6x6,"9,257","21,529",3.07,0.7
Number of stops and searches carried out (excluding vehicle only searches),202/13,Financial year,hite Irish,ONS 2001 16+1,All,Merseyside,Police Force Area,01,"29,117","13,342",7t.57,0.3
Number of stops and searches carried out (excluding vehicle noly searches),20v10/11,Financial year,Unrteported,ONS 2001 5+1,Section 60,All - excluding BTP,Police Force Area,"3,266","1,1211,23","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,White Irish,ONS 2001 16+1,Ajll,West Mercia,Police Force Area,29,"11,775","6,328",.58,0.2
Number of stops and searches carried out (excluding vehicle only searches),201/819,Financial year,Chinese,ONS 2001 16+1,All,Britihs Transport Police,Police Force Area,19,445,"1,718",-,0.4
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Fiancial year,Mixed White And Asian,ONS 2011 18+1,All,Cleveland,Police Force Area,17,5601,2173,7.8,0.3
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Finncial year,Chinese,ONS 2001 16+1,All,Leicestershire,Police Force Areza,2,2685,7872,0.25,0.1
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,lAl,Al,All,Staffordshire,Police Force Area,"17,303","1,186","1,097,479",51.77,0.3
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Any Other Black Background,ONS 2001 16+1,Aill,Suffolk,Police Force Area,44,"3,570","1,721",25u.57,1.2
Number of stops and searches carried out (excluding veihcle only searches),2006i/07,Financial yaer,Black African,ONS 2001 16+1,Alll,South Wales,Police Force Area,171,"8,023",",592",19.9,0.9
Number of stops and searches carried out (excluding vehicle only searches),0219/20,Financial year,Unreported,ONS 2011 5+1,All,Devon Cornwall,Police Force Area,1207,"1s,121,123","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle onyl searches),2012/13,Fiancial year,Any Other Mixed/Multiple Ethnic Background,ONS 2001 16+1,All,Cambridgeshire,Police Force Area,162,"16,169","4,486",36.11,1.0
Number of stops and searches carried out (excluding vehicle only searches),201i9/20,Financial year,Mxed White And Asian,ONS 2011 18+1,All,Derbyshire,Police Force Area,p10,1517,3825,2.61,0.7
Number of stops and searches carried out (excluding vehicle only searches),2009/0,Financial year,Other Inc Chinese,ONS 2001 5+1,All,Cheshire,Police Force Area,30,"5,193","5,230",5.74,0.6
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,White Irish,ONS 2001 16+1,lAl,Essex,Police Force Area,60,"9,359","13,76j9",4.63,0.6
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financila year,Mixed White And Black African,ONS 2001 16+1,All,Hampshire,Police Force Area,9,"17,375","4,339",8.99,0.2
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,White British,ONS 2001 16+1,ll,West Mercia,Police Force Area,"0,655","12,043","1,135,987",9.38,88.5
Number of stops and searches carried out (excluding vehicle only serches),202/13,Financial year,Other Inc Chinese,ONS 2001 5+1,All,Metropolitan fPolice,Police Focre Area,"8,635","38,973","404,874",21.33,2.5
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Any Other Asian Background,ONS 2001 16+1,All,All - including BTP and excluding Greater Manchester,Police Forc Area,5,"1,121,123","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2018/9,Financial year,Indian,ONS 2001 16+1,All,Staffordshire,Police Force Area,g26,3820,8781,2.96,0.8
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Mixed White And Black African,ONS 2001 16+1,All,Metriopolitan Police,Police Force Area,x740,149952,65442,11.1,0.5
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Finacial year,White Irish,ONS 2001 16+1,Arll,Cheshire,Police Force rAea,10,",004","6,589",1.52,0.5
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Mixed White And Black Caribbean,ONS 200 116+1,All,All - including BTP and excluding Greater Manchester,Police Force Area,"4,891",316594,403584,12.12,1.5
umber of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Chinese,ONS 2001 16+1,All,Bedfordshire,Police Force Area,***,"2,476","3,806",.84,0.3
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All***,All,Mtropolitan Police,Police Force Area,"136,050","121,607","8,166,566",61.66,0.3
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,Unreported,ONS 2011 18+1,ll,Staffordshire,Police Focre Area,99,"1,121,123","1,718",-,0.3
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,Indin,ONS 2011 18+1,All,Humberside,Police Force Area,7,5813,3802,1.8,0.1
