team,season,manager
West_Ham_United_F.C.,2z013,Aiqun_Levergood
New_York_Red_Bulls,20h11,Atsuyuki_Jayaprakash
West_Ham_United_F.C.,201m3,Aiqun_Levergood
A.C._Perugia_Calcio,i2013,Masum_Kasprzak
A.C._Perugia_Calcio,r2013,Masum_Kasprzak
West_Ham_United_F.C.,t2013,Aiqun_Levergood
A.C._Perugia_Calcio,q2013,Masum_Kasprzak
West_Ham_United_F.C.,q2011,Jiangling_Micheaux
New_York_Red_Bulls,2r011,Atsuyuki_Jayaprakash
West_Ham_United_F.C.,20r11,Jiangling_Micheaux
A.C._Perugia_Calcio,y2013,Masum_Kasprzak
VfL_Wolfsburg,2v011,Atsufumi_Comparetto
West_Ham_United_F.C.,2u011,Jiangling_Micheaux
VfL_Wolfsburg,w2011,Atsufumi_Comparetto
West_Ham_United_F.C.,2n011,Jiangling_Micheaux
West_Ham_United_F.C.,s2013,Aiqun_Levergood
VfL_Wolfsburg,t2011,Atsufumi_Comparetto
VfL_Wolfsburg,2g011,Atsufumi_Comparetto
VfL_Wolfsburg,201g1,Atsufumi_Comparetto
West_Ham_United_F.C.,201q3,Aiqun_Levergood
West_Ham_United_F.C.,2y011,Jiangling_Micheaux
West_Ham_United_F.C.,2w013,Aiqun_Levergood
West_Ham_United_F.C.,2m013,Aiqun_Levergood
VfL_Wolfsburg,u2011,Atsufumi_Comparetto
A.C._Perugia_Calcio,201o3,Masum_Kasprzak
A.C._Perugia_Calcio,201s3,Masum_Kasprzak
A.C._Perugia_Calcio,201a3,Masum_Kasprzak
West_Ham_United_F.C.,201y1,Jiangling_Micheaux
West_Ham_United_F.C.,f2011,Jiangling_Micheaux
West_Ham_United_F.C.,20z11,Jiangling_Micheaux
New_York_Red_Bulls,l2011,Atsuyuki_Jayaprakash
A.C._Perugia_Calcio,s2013,Masum_Kasprzak
West_Ham_United_F.C.,201v3,Aiqun_Levergood
West_Ham_United_F.C.,20w13,Aiqun_Levergood
West_Ham_United_F.C.,201p3,Aiqun_Levergood
West_Ham_United_F.C.,2r013,Aiqun_Levergood
A.C._Perugia_Calcio,20v13,Masum_Kasprzak
West_Ham_United_F.C.,201c3,Aiqun_Levergood
A.C._Perugia_Calcio,o2013,Masum_Kasprzak
VfL_Wolfsburg,2j011,Atsufumi_Comparetto
A.C._Perugia_Calcio,2h013,Masum_Kasprzak
West_Ham_United_F.C.,2e011,Jiangling_Micheaux
West_Ham_United_F.C.,20d11,Jiangling_Micheaux
West_Ham_United_F.C.,201z3,Aiqun_Levergood
VfL_Wolfsburg,2f011,Atsufumi_Comparetto
VfL_Wolfsburg,20o11,Atsufumi_Comparetto
West_Ham_United_F.C.,20p13,Aiqun_Levergood
VfL_Wolfsburg,p2011,Atsufumi_Comparetto
VfL_Wolfsburg,20w11,Atsufumi_Comparetto
New_York_Red_Bulls,i2011,Atsuyuki_Jayaprakash
VfL_Wolfsburg,r2011,Atsufumi_Comparetto
A.C._Perugia_Calcio,2a013,Masum_Kasprzak
West_Ham_United_F.C.,201e3,Aiqun_Levergood
New_York_Red_Bulls,201y1,Atsuyuki_Jayaprakash
New_York_Red_Bulls,20c11,Atsuyuki_Jayaprakash
West_Ham_United_F.C.,o2013,Aiqun_Levergood
West_Ham_United_F.C.,2u013,Aiqun_Levergood
West_Ham_United_F.C.,201e1,Jiangling_Micheaux
West_Ham_United_F.C.,l2013,Aiqun_Levergood
A.C._Perugia_Calcio,j2013,Masum_Kasprzak
West_Ham_United_F.C.,2c013,Aiqun_Levergood
A.C._Perugia_Calcio,20d13,Masum_Kasprzak
VfL_Wolfsburg,2o011,Atsufumi_Comparetto
West_Ham_United_F.C.,2q013,Aiqun_Levergood
West_Ham_United_F.C.,201w3,Aiqun_Levergood
West_Ham_United_F.C.,2x013,Aiqun_Levergood
A.C._Perugia_Calcio,2n013,Masum_Kasprzak
A.C._Perugia_Calcio,201z3,Masum_Kasprzak
West_Ham_United_F.C.,201o3,Aiqun_Levergood
A.C._Perugia_Calcio,z2013,Masum_Kasprzak
VfL_Wolfsburg,20h11,Atsufumi_Comparetto
West_Ham_United_F.C.,2o013,Aiqun_Levergood
A.C._Perugia_Calcio,f2013,Masum_Kasprzak
A.C._Perugia_Calcio,201v3,Masum_Kasprzak
West_Ham_United_F.C.,2h013,Aiqun_Levergood
A.C._Perugia_Calcio,w2013,Masum_Kasprzak
A.C._Perugia_Calcio,2i013,Masum_Kasprzak
West_Ham_United_F.C.,20e13,Aiqun_Levergood
A.C._Perugia_Calcio,h2013,Masum_Kasprzak
West_Ham_United_F.C.,z2013,Aiqun_Levergood
A.C._Perugia_Calcio,2t013,Masum_Kasprzak
